sku_id,current_stock,reorder_point,safety_stock,last_updated
CHE-0017,242,404,63,20-06-2026
CHE-0018,755,473,52,20-06-2026
CHE-0019,457,429,65,20-06-2026
CHE-0020,447,107,171,20-06-2026
RAW-0001,831,415,77,20-06-2026
RAW-0002,657,244,190,20-06-2026
RAW-0003,549,470,96,20-06-2026
RAW-0004,104,350,158,20-06-2026
RAW-0005,323,164,195,20-06-2026
RAW-0006,316,381,112,20-06-2026
RAW-0007,198,197,154,20-06-2026
RAW-0008,575,410,55,20-06-2026
RAW-0009,536,457,52,20-06-2026
RAW-0010,244,301,132,20-06-2026
RAW-0011,784,100,100,20-06-2026
RAW-0012,133,468,81,20-06-2026
RAW-0013,870,253,167,20-06-2026
RAW-0014,833,153,182,20-06-2026
RAW-0015,306,354,96,20-06-2026
RAW-0016,521,174,152,20-06-2026
RAW-0017,949,405,147,20-06-2026
RAW-0018,641,407,128,20-06-2026
RAW-0019,999,232,78,20-06-2026
RAW-0020,168,372,133,20-06-2026
CON-0001,846,304,175,20-06-2026
CON-0002,194,210,129,20-06-2026
CON-0003,999,487,153,20-06-2026
CON-0004,771,294,142,20-06-2026
CON-0005,565,376,54,20-06-2026
CON-0006,744,425,50,20-06-2026
CON-0007,829,133,127,20-06-2026
CON-0008,220,348,96,20-06-2026
CON-0009,147,206,112,20-06-2026
CON-0010,724,356,57,20-06-2026
CON-0011,155,402,176,20-06-2026
CON-0012,464,177,179,20-06-2026
CON-0013,102,470,56,20-06-2026
CON-0014,605,338,67,20-06-2026
CON-0015,584,291,168,20-06-2026
CON-0016,573,372,135,20-06-2026
CON-0017,679,112,74,20-06-2026
CON-0018,327,245,160,20-06-2026
CON-0019,847,363,162,20-06-2026
CON-0020,419,105,75,20-06-2026
